timestamp,source_id,source_role,dest,dest_id,message_type,details
9.9,51,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
9.9,95,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
9.9,72,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,57,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,65,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,14,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,30,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,23,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,6,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,99,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,66,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,9,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,46,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,92,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,19,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.0,21,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,40,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,11,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,17,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,68,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,5,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,44,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,25,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,48,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.1,67,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,8,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,43,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,26,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,29,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,16,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,77,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,60,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,4,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,87,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,52,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.2,61,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,64,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,24,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,35,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,62,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,84,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,39,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,97,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,2,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.3,13,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,71,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,85,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,80,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,55,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,34,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,69,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,47,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,93,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.4,37,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.5,86,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.5,41,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.5,63,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.5,12,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
10.5,36,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
